"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","should return 404 for non-existent endpoint","mobile","Mon Mar 16 16:51:38 UTC 2026","passed","Mon Mar 16 16:51:38 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","2644","should register a new user","mobile","Mon Mar 16 16:52:24 UTC 2026","passed","Mon Mar 16 16:52:27 UTC 2026","Conduit: Account Setup","e2e/auth/registration.spec.js","",""
"","196","should return 401 for login with invalid password","desktop","Mon Mar 16 16:51:31 UTC 2026","passed","Mon Mar 16 16:51:31 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","5891","should register, login and create an article @smoke @article","mobile","Mon Mar 16 16:51:39 UTC 2026","passed","Mon Mar 16 16:51:45 UTC 2026","Conduit: Authenticated Flow @conduit","e2e/articles/conduit-article.spec.js","",""
"","1344","should load login page @smoke","desktop","Mon Mar 16 16:52:09 UTC 2026","passed","Mon Mar 16 16:52:10 UTC 2026","Login Tests (No Auth)","e2e/auth/login.spec.js","",""
"","495","should login successfully with valid credentials @smoke","mobile","Mon Mar 16 16:51:38 UTC 2026","passed","Mon Mar 16 16:51:38 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","340","should return 401 for login with invalid password","mobile","Mon Mar 16 16:51:38 UTC 2026","passed","Mon Mar 16 16:51:39 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","362","should login successfully with valid credentials @smoke","desktop","Mon Mar 16 16:51:31 UTC 2026","passed","Mon Mar 16 16:51:31 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","4536","should fetch all tags @smoke","mobile","Mon Mar 16 16:51:32 UTC 2026","passed","Mon Mar 16 16:51:36 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","368","should fetch articles from global feed","mobile","Mon Mar 16 16:51:37 UTC 2026","passed","Mon Mar 16 16:51:38 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","4094","should verify feed tabs are visible on dashboard @smoke","mobile","Mon Mar 16 16:52:27 UTC 2026","passed","Mon Mar 16 16:52:31 UTC 2026","Dashboard Tests (Authenticated)","e2e/dashboard/dashboard.spec.js","",""
"","4558","should register, login and create an article @smoke @article","desktop","Mon Mar 16 16:51:31 UTC 2026","passed","Mon Mar 16 16:51:36 UTC 2026","Conduit: Authenticated Flow @conduit","e2e/articles/conduit-article.spec.js","",""
"","177","should return 404 for non-existent endpoint","desktop","Mon Mar 16 16:51:31 UTC 2026","passed","Mon Mar 16 16:51:31 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","2679","should show error on invalid login","mobile","Mon Mar 16 16:52:22 UTC 2026","passed","Mon Mar 16 16:52:24 UTC 2026","Login Tests (No Auth)","e2e/auth/login.spec.js","",""
"","4139","should switch between Global Feed and Your Feed tabs","mobile","Mon Mar 16 16:52:31 UTC 2026","passed","Mon Mar 16 16:52:35 UTC 2026","Dashboard Tests (Authenticated)","e2e/dashboard/dashboard.spec.js","",""
"","8128","should create a new article using existing session","mobile","Mon Mar 16 16:52:11 UTC 2026","failed","Mon Mar 16 16:52:19 UTC 2026","Conduit: Authenticated Session","e2e/auth/conduit-session.spec.js","",""
"","201","should fetch articles from global feed","desktop","Mon Mar 16 16:51:30 UTC 2026","passed","Mon Mar 16 16:51:31 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","2715","should access dashboard with dynamically created session @smoke","desktop","Mon Mar 16 16:51:36 UTC 2026","passed","Mon Mar 16 16:51:39 UTC 2026","Conduit: Dynamic Auth Session","e2e/auth/conduit-dynamic-session.spec.js","",""
"","839","should fetch all tags @smoke","desktop","Mon Mar 16 16:51:28 UTC 2026","passed","Mon Mar 16 16:51:29 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","3436","should access dashboard with dynamically created session @smoke","mobile","Mon Mar 16 16:51:45 UTC 2026","passed","Mon Mar 16 16:51:48 UTC 2026","Conduit: Dynamic Auth Session","e2e/auth/conduit-dynamic-session.spec.js","",""
"","2238","should register a new user","desktop","Mon Mar 16 16:52:12 UTC 2026","passed","Mon Mar 16 16:52:14 UTC 2026","Conduit: Account Setup","e2e/auth/registration.spec.js","",""
"","2259","should show error on invalid login","desktop","Mon Mar 16 16:52:10 UTC 2026","passed","Mon Mar 16 16:52:12 UTC 2026","Login Tests (No Auth)","e2e/auth/login.spec.js","",""
