"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","should return 401 for login with invalid password @regression undefined","desktop","Mon Mar 16 17:17:48 UTC 2026","passed","Mon Mar 16 17:17:48 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","2499","should register a new user @regression","mobile","Mon Mar 16 17:18:56 UTC 2026","passed","Mon Mar 16 17:18:58 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.js","",""
"","2859","should show error on invalid login @regression @login","desktop","Mon Mar 16 17:18:29 UTC 2026","passed","Mon Mar 16 17:18:32 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","3719","should switch between Global Feed and Your Feed tabs @regression @dashboard","mobile","Mon Mar 16 17:19:02 UTC 2026","passed","Mon Mar 16 17:19:05 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.js","",""
"","4341","should switch between Global Feed and Your Feed tabs @regression @dashboard","desktop","Mon Mar 16 17:18:39 UTC 2026","passed","Mon Mar 16 17:18:43 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.js","",""
"","2949","should access dashboard with dynamically created session @smoke","desktop","Mon Mar 16 17:17:54 UTC 2026","passed","Mon Mar 16 17:17:57 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","3307","should be able to navigate to settings while authenticated @regression","desktop","Mon Mar 16 17:17:57 UTC 2026","passed","Mon Mar 16 17:18:00 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","2487","should show error on invalid login @regression @login","mobile","Mon Mar 16 17:18:53 UTC 2026","passed","Mon Mar 16 17:18:56 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","2869","should register a new user @regression","desktop","Mon Mar 16 17:18:32 UTC 2026","passed","Mon Mar 16 17:18:35 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.js","",""
"","2969","should access dashboard with dynamically created session @smoke","mobile","Mon Mar 16 17:18:18 UTC 2026","passed","Mon Mar 16 17:18:21 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","831","should fetch all tags @smoke","desktop","Mon Mar 16 17:17:46 UTC 2026","passed","Mon Mar 16 17:17:47 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","311","should return 404 for non-existent endpoint @regression @api","mobile","Mon Mar 16 17:18:10 UTC 2026","passed","Mon Mar 16 17:18:10 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
