"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3321","should verify feed tabs are visible on dashboard @smoke","mobile","Tue Mar 17 12:56:39 UTC 2026","passed","Tue Mar 17 12:56:43 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.ts","",""
"","3005","should verify feed tabs are visible on dashboard @smoke","desktop","Tue Mar 17 12:56:36 UTC 2026","passed","Tue Mar 17 12:56:39 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.ts","",""
"","2261","should access dashboard with dynamically created session @smoke","desktop","Tue Mar 17 12:56:23 UTC 2026","passed","Tue Mar 17 12:56:25 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.ts","",""
"","2441","should access dashboard with dynamically created session @smoke","mobile","Tue Mar 17 12:56:23 UTC 2026","passed","Tue Mar 17 12:56:25 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.ts","",""
"","426","should login successfully with valid credentials @smoke @auth","mobile","Tue Mar 17 12:56:16 UTC 2026","passed","Tue Mar 17 12:56:17 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.ts","",""
"","4980","should create a new article using existing session @regression @article","mobile","Tue Mar 17 12:56:28 UTC 2026","passed","Tue Mar 17 12:56:33 UTC 2026","Conduit: Authenticated Session @conduit @auth","e2e/auth/conduit-session.spec.ts","",""
"","2979","should be able to navigate to settings while authenticated @regression","mobile","Tue Mar 17 12:56:25 UTC 2026","passed","Tue Mar 17 12:56:28 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.ts","",""
"","2502","should be able to navigate to settings while authenticated @regression","desktop","Tue Mar 17 12:56:25 UTC 2026","passed","Tue Mar 17 12:56:28 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.ts","",""
"","303","should return 404 for non-existent endpoint @regression @api","mobile","Tue Mar 17 12:56:16 UTC 2026","passed","Tue Mar 17 12:56:16 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
"","309","should return 401 for login with invalid password @regression @auth","mobile","Tue Mar 17 12:56:17 UTC 2026","passed","Tue Mar 17 12:56:17 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.ts","",""
"","5493","should register, login and create an article @smoke @article","mobile","Tue Mar 17 12:56:17 UTC 2026","passed","Tue Mar 17 12:56:23 UTC 2026","Conduit: Authenticated Flow @conduit @article @auth","e2e/articles/conduit-article.spec.ts","",""
"","152","should return 401 for login with invalid password @regression @auth","desktop","Tue Mar 17 12:56:19 UTC 2026","passed","Tue Mar 17 12:56:19 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.ts","",""
"","1061","should load login page @smoke","desktop","Tue Mar 17 12:56:31 UTC 2026","passed","Tue Mar 17 12:56:32 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.ts","",""
"","1273","should load login page @smoke","mobile","Tue Mar 17 12:56:33 UTC 2026","passed","Tue Mar 17 12:56:35 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.ts","",""
"","3567","should register, login and create an article @smoke @article","desktop","Tue Mar 17 12:56:19 UTC 2026","passed","Tue Mar 17 12:56:23 UTC 2026","Conduit: Authenticated Flow @conduit @article @auth","e2e/articles/conduit-article.spec.ts","",""
"","267","should login successfully with valid credentials @smoke @auth","desktop","Tue Mar 17 12:56:19 UTC 2026","passed","Tue Mar 17 12:56:19 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.ts","",""
"","156","should fetch articles from global feed @regression @api","desktop","Tue Mar 17 12:56:18 UTC 2026","passed","Tue Mar 17 12:56:18 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
"","3131","should switch between Global Feed and Your Feed tabs @regression @dashboard","desktop","Tue Mar 17 12:56:39 UTC 2026","passed","Tue Mar 17 12:56:42 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.ts","",""
"","3440","should create a new article using existing session @regression @article","desktop","Tue Mar 17 12:56:28 UTC 2026","passed","Tue Mar 17 12:56:31 UTC 2026","Conduit: Authenticated Session @conduit @auth","e2e/auth/conduit-session.spec.ts","",""
"","703","should fetch all tags @smoke","desktop","Tue Mar 17 12:56:16 UTC 2026","passed","Tue Mar 17 12:56:16 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
"","2314","should register a new user @regression","mobile","Tue Mar 17 12:56:37 UTC 2026","passed","Tue Mar 17 12:56:39 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.ts","",""
"","2267","should show error on invalid login @regression @login","mobile","Tue Mar 17 12:56:35 UTC 2026","passed","Tue Mar 17 12:56:37 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.ts","",""
"","136","should return 404 for non-existent endpoint @regression @api","desktop","Tue Mar 17 12:56:18 UTC 2026","passed","Tue Mar 17 12:56:19 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
"","1994","should show error on invalid login @regression @login","desktop","Tue Mar 17 12:56:32 UTC 2026","passed","Tue Mar 17 12:56:34 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.ts","",""
"","3566","should switch between Global Feed and Your Feed tabs @regression @dashboard","mobile","Tue Mar 17 12:56:43 UTC 2026","passed","Tue Mar 17 12:56:46 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.ts","",""
"","2096","should register a new user @regression","desktop","Tue Mar 17 12:56:34 UTC 2026","passed","Tue Mar 17 12:56:36 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.ts","",""
"","346","should fetch articles from global feed @regression @api","mobile","Tue Mar 17 12:56:16 UTC 2026","passed","Tue Mar 17 12:56:16 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
"","4536","should fetch all tags @smoke","mobile","Tue Mar 17 12:56:10 UTC 2026","passed","Tue Mar 17 12:56:15 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.ts","",""
