"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30181","should logout successfully","mobile","Mon Mar 16 10:59:16 UTC 2026","broken","Mon Mar 16 10:59:46 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","2142","should show error on invalid login","desktop","Mon Mar 16 10:59:43 UTC 2026","passed","Mon Mar 16 10:59:46 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","1980","should create a new article using existing session","mobile","Mon Mar 16 10:57:57 UTC 2026","failed","Mon Mar 16 10:57:59 UTC 2026","Conduit: Authenticated Session","conduit-session.spec.js","",""
"","2229","should register a new user","desktop","Mon Mar 16 10:57:59 UTC 2026","passed","Mon Mar 16 10:58:01 UTC 2026","Conduit: Account Setup","conduit-setup.spec.js","",""
"","5182","should register, login and create an article @smoke @article","desktop","Mon Mar 16 10:57:44 UTC 2026","passed","Mon Mar 16 10:57:50 UTC 2026","Conduit: Authenticated Flow @conduit","conduit-article.spec.js","",""
"","2838","should register a new user","mobile","Mon Mar 16 10:58:00 UTC 2026","passed","Mon Mar 16 10:58:03 UTC 2026","Conduit: Account Setup","conduit-setup.spec.js","",""
"","1900","should verify feed tabs are visible on dashboard @smoke","mobile","Mon Mar 16 10:58:10 UTC 2026","failed","Mon Mar 16 10:58:12 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","2644","should show error on invalid login","mobile","Mon Mar 16 10:59:49 UTC 2026","passed","Mon Mar 16 10:59:52 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","30068","should logout successfully","desktop","Mon Mar 16 10:59:11 UTC 2026","broken","Mon Mar 16 10:59:41 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","1255","should load login page @smoke","desktop","Mon Mar 16 10:59:42 UTC 2026","passed","Mon Mar 16 10:59:43 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","1333","should verify feed tabs are visible on dashboard @smoke","desktop","Mon Mar 16 10:58:06 UTC 2026","failed","Mon Mar 16 10:58:07 UTC 2026","Dashboard Tests (Authenticated)","dashboard.spec.js","",""
"","10075","should register, login and create an article @smoke @article","mobile","Mon Mar 16 10:57:40 UTC 2026","passed","Mon Mar 16 10:57:50 UTC 2026","Conduit: Authenticated Flow @conduit","conduit-article.spec.js","",""
"","1684","should load login page @smoke","mobile","Mon Mar 16 10:59:47 UTC 2026","passed","Mon Mar 16 10:59:49 UTC 2026","Login Tests (No Auth)","login.spec.js","",""
"","1331","should create a new article using existing session","desktop","Mon Mar 16 10:57:56 UTC 2026","failed","Mon Mar 16 10:57:58 UTC 2026","Conduit: Authenticated Session","conduit-session.spec.js","",""
